target,source,features,model,H,seed,k,auc_ceiling_within_lco,auc_ceiling_full_lfp,auc_lco_holdout_before,n_cal_cells,n_test_cells,arm,method,auc_pooled,auc_percell_mean,auc_percell_std,ece,brier,tie_delta_mean,tie_delta_max,auc_zeroshot,recovery_ratio,retrain_proximity,delong_p_vs_zeroshot,auc_lco_holdout_after,rank_corr
severson,nasa,no_soh,random_forest,20,456,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_b,warmstart,0.7499607277791875,0.8913720226155696,0.17498029255797928,0.011715392914514993,0.013912530768966782,,,0.7199927899286372,0.2042247404307629,0.10783641249965392,5.304921772033357e-15,0.54640522875817,
severson,nasa,no_soh,random_forest,20,456,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,iso,0.6507186310115762,,,0.012141397565548289,0.020559992475286823,0.06927415891706101,0.06927415891706101,0.7199927899286372,-0.4720877757405125,-0.24927563630840868,1.4403104710838439e-208,,0.8638779608838572
severson,nasa,no_soh,random_forest,20,456,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,platt,0.7199927899286372,,,0.013670137171930361,0.021414740706489997,0.0,0.0,0.7199927899286372,0.0,0.0,1.0,,0.9999999999866198
severson,nasa,no_soh,random_forest,20,456,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,temp,0.7199927899286372,,,0.48431817485038453,0.25490059377989693,0.0,0.0,0.7199927899286372,0.0,0.0,1.0,,0.9999999877422606
severson,nasa,no_soh,random_forest,20,789,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,zeroshot,raw,0.7278566616939817,0.8693401761011231,0.10819384186482708,0.5299798400347608,0.3024678076356761,,,0.7278566616939817,,,,,
severson,nasa,no_soh,random_forest,20,789,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_b,warmstart,0.5902791857983158,0.5034837391774153,0.17839837521744448,0.0373180939926248,0.02951335872241662,,,0.7278566616939817,-0.9906488635750319,-0.50947455617146,1.5590837447739478e-43,0.43137254901960786,
severson,nasa,no_soh,random_forest,20,789,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,iso,0.6312473920666641,,,0.014699712927278072,0.020846226583342432,0.09660926962731753,0.09660926962731753,0.7278566616939817,-0.6956506691523844,-0.3577617952720203,0.0,,0.8441696065201325
severson,nasa,no_soh,random_forest,20,789,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,platt,0.27214333830601833,,,0.009635196087730358,0.020882775051942963,0.45571332338796333,0.45571332338796333,0.7278566616939817,-3.281437480890062,-1.687589786503838,0.0,,-0.9999999999778328
severson,nasa,no_soh,random_forest,20,789,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,temp,0.7278566616939817,,,0.4839913113777611,0.25484233201261214,0.0,0.0,0.7278566616939817,0.0,0.0,1.0,,0.9999999999778328
severson,nasa,no_soh,random_forest,20,101112,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,zeroshot,raw,0.8316218466734382,0.8558098674044864,0.1420943798386877,0.5386984447751143,0.30517456011821215,,,0.8316218466734382,,,,,
severson,nasa,no_soh,random_forest,20,101112,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_b,warmstart,0.8059612146429994,0.9658491380171019,0.08642621823531059,0.14870153239405612,0.12375892993084134,,,0.8316218466734382,-0.7308443367325534,-0.15432851341406312,1.825792506184854e-07,0.39346405228758163,
severson,nasa,no_soh,random_forest,20,101112,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,iso,0.6938908954796074,,,0.1739919518217401,0.05498440206076371,0.13773095119383083,0.13773095119383083,0.8316218466734382,-3.9227360243269023,-0.8283433129641949,0.0,,0.8728318273331913
severson,nasa,no_soh,random_forest,20,101112,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,platt,0.8316218466734382,,,0.1848352120138994,0.049545942438554307,0.0,0.0,0.8316218466734382,0.0,0.0,1.0,,0.999999954994775
severson,nasa,no_soh,random_forest,20,101112,5,0.8667327871852877,0.9978946336184621,0.9594771241830066,5,136,arm_a,temp,0.8316218466734382,,,0.491233649821077,0.25509926797839644,0.0,0.0,0.8316218466734382,0.0,0.0,1.0,,0.9999999887350984
severson,nasa,no_soh,random_forest,20,42,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,zeroshot,raw,0.7164299463897328,0.851906852978832,0.14255207499390227,0.5314513009190633,0.3041281877178136,,,0.7164299463897328,,,,,
severson,nasa,no_soh,random_forest,20,42,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_b,warmstart,0.7067802026291709,0.8443157962224508,0.21752044341780621,0.01754151505117976,0.01592008460416872,,,0.7164299463897328,-0.06420200516161714,-0.034284029927776245,0.021785694995455816,0.6784313725490196,
severson,nasa,no_soh,random_forest,20,42,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,iso,0.6532593987271499,,,0.010071796871822466,0.021235583606354875,0.0631705476625829,0.0631705476625829,0.7164299463897328,-0.42028844783119446,-0.22443507313316366,3.895386070836937e-189,,0.875594593149802
severson,nasa,no_soh,random_forest,20,42,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,platt,0.7164299463897328,,,0.007313653642317941,0.020807302015258107,0.0,0.0,0.7164299463897328,0.0,0.0,1.0,,0.9999999894849677
severson,nasa,no_soh,random_forest,20,42,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,temp,0.7164299463897328,,,0.484178698830544,0.25499547290928787,0.0,0.0,0.7164299463897328,0.0,0.0,1.0,,0.9999999894740271
severson,nasa,no_soh,random_forest,20,123,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,zeroshot,raw,0.7221771747079644,0.8598105067078203,0.13774656904703872,0.5312273193199609,0.304119099399855,,,0.7221771747079644,,,,,
severson,nasa,no_soh,random_forest,20,123,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_b,warmstart,0.7759180375986626,0.9415326580062843,0.1303560764457359,0.021962534290174023,0.020235211394581672,,,0.7221771747079644,0.37176600734979187,0.19491280350202045,8.453450642597844e-60,0.29281045751633983,
severson,nasa,no_soh,random_forest,20,123,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,iso,0.6701783442843726,,,0.010857103021524102,0.0209701836232958,0.05199883042359177,0.05199883042359177,0.7221771747079644,-0.3597150572880657,-0.18859462374659205,2.259388311355869e-81,,0.894922435814601
severson,nasa,no_soh,random_forest,20,123,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,platt,0.7221771747079644,,,0.010713252216271315,0.021004148726873142,0.0,0.0,0.7221771747079644,0.0,0.0,1.0,,0.9999999999773233
severson,nasa,no_soh,random_forest,20,123,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,temp,0.7221771747079644,,,0.48384996530386337,0.2549953582854271,0.0,0.0,0.7221771747079644,0.0,0.0,1.0,,0.9999999999773233
severson,nasa,no_soh,random_forest,20,456,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,zeroshot,raw,0.7113767379590432,0.8543620267301915,0.14103365064009668,0.5314627757299173,0.3043130117975103,,,0.7113767379590432,,,,,
severson,nasa,no_soh,random_forest,20,456,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_b,warmstart,0.6886573077402846,0.9588528682757047,0.11226600528220551,0.012265825715092781,0.014432697498631972,,,0.7113767379590432,-0.14624104006193178,-0.07929497795057464,1.5603570989153985e-05,0.3516339869281046,
severson,nasa,no_soh,random_forest,20,456,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,iso,0.6432907317254115,,,0.012652564203134016,0.02091650077209541,0.0680860062336317,0.0680860062336317,0.7113767379590432,-0.43825783786814954,-0.23763264796054798,6.405841678309749e-203,,0.8721428232009854
severson,nasa,no_soh,random_forest,20,456,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,platt,0.7113767379590432,,,0.00874045949799502,0.021467293703237213,0.0,0.0,0.7113767379590432,0.0,0.0,1.0,,0.9999999999860757
severson,nasa,no_soh,random_forest,20,456,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,temp,0.7113767379590432,,,0.4840351218222215,0.255013873869224,0.0,0.0,0.7113767379590432,0.0,0.0,1.0,,0.9999999999758624
severson,nasa,no_soh,random_forest,20,789,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,zeroshot,raw,0.7224295022364251,0.8546445409288289,0.14133260478821277,0.5294129867654385,0.30201373693544803,,,0.7224295022364251,,,,,
severson,nasa,no_soh,random_forest,20,789,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_b,warmstart,0.8377919375634213,0.9742314741056072,0.05719981718435035,0.010537911635048886,0.016258782119819213,,,0.7224295022364251,0.7994442771547281,0.41879142651634693,1.7808082750298824e-230,0.42875816993464055,
severson,nasa,no_soh,random_forest,20,789,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,iso,0.6493816669271152,,,0.011876564630062822,0.020890575615843305,0.07304783530930992,0.07304783530930992,0.7224295022364251,-0.5062104811764765,-0.26517997012115974,1.7676812566925077e-231,,0.8655810216651164
severson,nasa,no_soh,random_forest,20,789,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,platt,0.7224295022364251,,,0.013465224633623396,0.020927361392389977,0.0,0.0,0.7224295022364251,0.0,0.0,1.0,,0.9999999877170288
severson,nasa,no_soh,random_forest,20,789,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,temp,0.7224295022364251,,,0.4837847945837832,0.25480333488471335,0.0,0.0,0.7224295022364251,0.0,0.0,1.0,,0.9999999999905785
severson,nasa,no_soh,random_forest,20,101112,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,zeroshot,raw,0.71282894429754,0.8539933885694299,0.14199581978671377,0.5316445951953852,0.30543019860617765,,,0.71282894429754,,,,,
severson,nasa,no_soh,random_forest,20,101112,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_b,warmstart,0.7228138299840795,0.8595145353834605,0.20381639143583274,0.01900030110428866,0.017398458279839615,,,0.71282894429754,0.06487742930384256,0.03502661337576383,0.009900311962061457,0.534640522875817,
severson,nasa,no_soh,random_forest,20,101112,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,iso,0.6599488904137868,,,0.015586306471963622,0.021950369785078378,0.052880053883753164,0.052880053883753164,0.71282894429754,-0.34359151072219873,-0.1855012927361514,2.6037735129587234e-83,,0.8607012976051428
severson,nasa,no_soh,random_forest,20,101112,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,platt,0.71282894429754,,,0.014692121109705107,0.021926468229569236,0.0,0.0,0.71282894429754,0.0,0.0,1.0,,0.9999999998271
severson,nasa,no_soh,random_forest,20,101112,10,0.8667327871852877,0.9978946336184621,0.9594771241830066,10,131,arm_a,temp,0.71282894429754,,,0.48311018093062974,0.2551138294805727,0.0,0.0,0.71282894429754,0.0,0.0,1.0,,0.9999999998126786
severson,nasa,no_soh,random_forest,20,123,20,0.8667327871852877,0.9978946336184621,0.9594771241830066,20,121,zeroshot,raw,0.7155377623667052,0.8655128073712554,0.10946463380544222,0.5289080185549131,0.3030370308191427,,,0.7155377623667052,,,,,
