target,source,features,model,H,seed,k,arm,method,auc_pooled,auc_percell_mean,auc_percell_std,ece,brier,tie_delta_mean,tie_delta_max,auc_zeroshot,auc_ceiling_within_lco,auc_ceiling_full_lfp,recovery_ratio,retrain_proximity,delong_p_vs_zeroshot,auc_lco_holdout_before,auc_lco_holdout_after,n_cal_cells,n_test_cells,rank_corr
severson,nasa,with_soh,lightgbm,10,42,10,arm_a,iso,0.819269539351252,,,0.0069122605795928,0.008913546640728,0.0161032097329766,0.0161032097329766,0.8353727490842286,0.911695031163958,0.9999923580086348,-0.2109896257577117,-0.0978207264504636,9.372500717974205e-13,0.9928571428571428,,10,131,0.6741682238829281
severson,nasa,with_soh,lightgbm,10,42,10,arm_a,platt,0.8353727490842286,,,0.007999250720512,0.0097824103352842,0.0,0.0,0.8353727490842286,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,42,10,arm_a,temp,0.8353727490842286,,,0.563645038026253,0.3324316802223176,0.0,0.0,0.8353727490842286,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,123,10,zeroshot,raw,0.8338726499654668,0.9917336547165144,0.0341602558823439,0.8961408627834273,0.8567650519779029,,,0.8338726499654668,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,10,131,
severson,nasa,with_soh,lightgbm,10,123,10,arm_b,warmstart,0.7480954793108536,0.9785073423295036,0.1232997373249816,0.0098912945202666,0.0098979716538838,,,0.8338726499654668,0.911695031163958,0.9999923580086348,-1.1022172456511283,-0.5163575813191481,6.5082122426036905e-99,0.9928571428571428,0.9875,10,131,
severson,nasa,with_soh,lightgbm,10,123,10,arm_a,iso,0.7905295585531787,,,0.0084126904683063,0.0092428727707388,0.043343091412288,0.043343091412288,0.8338726499654668,0.911695031163958,0.9999923580086348,-0.5569489232376299,-0.2609148060928746,1.9978207303457336e-63,0.9928571428571428,,10,131,0.3132355520621215
severson,nasa,with_soh,lightgbm,10,123,10,arm_a,platt,0.8338726499654668,,,0.0081005663952663,0.0091939305272654,0.0,0.0,0.8338726499654668,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,123,10,arm_a,temp,0.8338726499654668,,,0.5637849381314298,0.332681462651017,0.0,0.0,0.8338726499654668,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,456,10,zeroshot,raw,0.8315353615197953,0.9915443911253522,0.0345991221018284,0.8935051474097706,0.8531891048787116,,,0.8315353615197953,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,10,131,
severson,nasa,with_soh,lightgbm,10,456,10,arm_b,warmstart,0.7610277382537487,0.9898100204780588,0.0593704573513403,0.008470420698002,0.0085529099771429,,,0.8315353615197953,0.911695031163958,0.9999923580086348,-0.8795897435585429,-0.4185496876689115,6.445887100929523e-68,0.9928571428571428,0.9821428571428572,10,131,
severson,nasa,with_soh,lightgbm,10,456,10,arm_a,iso,0.7866339608021878,,,0.0082951705964665,0.0091798176668242,0.0449014007176075,0.0449014007176075,0.8315353615197953,0.911695031163958,0.9999923580086348,-0.5601495230323374,-0.266545181580406,1.14269143406361e-65,0.9928571428571428,,10,131,0.3176868721199242
severson,nasa,with_soh,lightgbm,10,456,10,arm_a,platt,0.8315353615197953,,,0.0072003361434312,0.0092091734262629,0.0,0.0,0.8315353615197953,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,456,10,arm_a,temp,0.8315353615197953,,,0.56308839988426,0.3321615598080981,0.0,0.0,0.8315353615197953,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,789,10,zeroshot,raw,0.833428104891542,0.991534029507763,0.0345971066236864,0.8979404405945537,0.8590771108892366,,,0.833428104891542,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,10,131,
severson,nasa,with_soh,lightgbm,10,789,10,arm_b,warmstart,0.7607677309759429,0.9848912467417352,0.0882401299127724,0.0094043226996413,0.0094221962220537,,,0.833428104891542,0.911695031163958,0.9999923580086348,-0.9283662637101286,-0.4362302988536182,7.409830547914985e-80,0.9928571428571428,0.9839285714285716,10,131,
severson,nasa,with_soh,lightgbm,10,789,10,arm_a,iso,0.7874149828009505,,,0.0090854198278325,0.0091570703820112,0.0460131220905914,0.0460131220905914,0.833428104891542,0.911695031163958,0.9999923580086348,-0.5878999506181967,-0.2762484820692276,2.186643625178731e-65,0.9928571428571428,,10,131,0.320414871202055
severson,nasa,with_soh,lightgbm,10,789,10,arm_a,platt,0.833428104891542,,,0.0081491898469656,0.0091760645713105,0.0,0.0,0.833428104891542,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,0.9999645705248776
severson,nasa,with_soh,lightgbm,10,789,10,arm_a,temp,0.833428104891542,,,0.563731948310674,0.3327947511777619,0.0,0.0,0.833428104891542,0.911695031163958,0.9999923580086348,0.0,0.0,1.0,0.9928571428571428,,10,131,1.0
severson,nasa,with_soh,lightgbm,10,101112,10,zeroshot,raw,0.8340807813043085,0.9917047980236658,0.0341542795966031,0.8915366509072058,0.8510265796603301,,,0.8340807813043085,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,10,131,
severson,nasa,with_soh,lightgbm,10,101112,10,arm_b,warmstart,0.7909306293434542,0.9854511860120684,0.0806420809785983,0.0124907708211108,0.0122943750864984,,,0.8340807813043085,0.911695031163958,0.9999923580086348,-0.5559565677550591,-0.2600792109748494,2.2762689768295025e-30,0.9928571428571428,0.9875,10,131,
severson,nasa,with_soh,lightgbm,10,101112,10,arm_a,iso,0.7921513682783652,,,0.008190803079386,0.0094494217903028,0.0419294130259433,0.0419294130259433,0.8340807813043085,0.911695031163958,0.9999923580086348,-0.5402282841329342,-0.252721442703582,3.71647516268504e-64,0.9928571428571428,,10,131,0.3179358250108089
