AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,source,target,baseline,H,model
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,full,10,logistic_full
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,full,20,logistic_full
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,full,30,logistic_full
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,full,50,logistic_full
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_dist,10,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_dist,20,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_dist,30,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_dist,50,logistic_soh_dist
1.0,0.5573431443822313,0.6381241960134851,1.5526642491692009,1.0,1.0,420.76311266385363,-1167.8426046640068,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_only,10,logistic_soh_only
1.0,0.5751812178573932,0.6502685513635355,1.6327980907874688,1.0,1.0,415.3183039697398,-1209.5392064713267,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_only,20,logistic_soh_only
1.0,0.59027334603762,0.6604940335358755,1.7093888403487973,1.0,1.0,404.83835361413355,-1238.2525968529621,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_only,30,logistic_soh_only
1.0,0.6180129014252438,0.6787025098560534,1.8687356772589723,1.0,1.0,388.8436652806588,-1304.0412685688996,0.9999999999999999,1.0,1.0,0.0,5,nasa+calce,oxford,soh_only,50,logistic_soh_only
0.7663934426229508,0.7262857879512261,0.7366101822004059,9.118660122010958,0.4,0.013157894736842105,34.427713560786025,-476.5205778668857,0.741635687732342,0.7914798206278026,0.7693171035077688,0.030529582936674057,5,nasa+calce,oxford,cycle_only,10,logistic_cycle_only
0.7868852459016393,0.7281121049363539,0.7385423713159341,9.10190786410117,0.4222222222222222,0.013157894736842105,17.13893402452819,-237.6673194885674,0.7602230483271375,0.8139013452914798,0.7900338037775972,0.03287801239334132,5,nasa+calce,oxford,cycle_only,20,logistic_cycle_only
0.7868852459016393,0.7297614176394566,0.7400573383731718,9.114112539893146,0.4222222222222222,0.013157894736842105,11.765013776003375,-163.4239189790128,0.7602230483271375,0.8139013452914798,0.7900338037775972,0.03287801239334132,5,nasa+calce,oxford,cycle_only,30,logistic_cycle_only
0.7868852459016393,0.7329396018294203,0.7428894287279267,9.135616124944763,0.4222222222222222,0.013157894736842105,10.424268519206976,-144.90078407062924,0.7602230483271375,0.8139013452914798,0.7900338037775972,0.03287801239334132,5,nasa+calce,oxford,cycle_only,50,logistic_cycle_only
0.7971311475409836,0.722933219921939,0.7341281912903209,8.986968174605408,0.4342857142857143,0.19736842105263158,25.569322552108495,-354.1098760985758,0.7695167286245352,0.8251121076233183,0.8003921539125114,0.03405222712167492,5,nasa+calce,oxford,soh_cycle,10,logistic_soh_cycle
0.8176229508196722,0.7239675247197801,0.7355800166400472,8.925826742580298,0.46060606060606063,0.34210526315789475,212.9170487344942,-2942.3917761417315,0.7881040892193308,0.8475336322869955,0.8211088541823397,0.036400656578342176,5,nasa+calce,oxford,soh_cycle,20,logistic_soh_cycle
0.8258196721311475,0.72477900168786,0.7365452346972963,8.890712851428514,0.4720496894409938,0.34210526315789475,18.210005424765928,-252.4088615161646,0.79182156133829,0.8587443946188341,0.8297128183523418,0.04061915541265518,5,nasa+calce,oxford,soh_cycle,30,logistic_soh_cycle
0.846311475409836,0.7266041038880136,0.7385445980810497,8.825781448717171,0.5033112582781457,0.6842105263157895,40.69310120442326,-562.9951013848738,0.8104089219330854,0.8811659192825112,0.85042951862217,0.04296313238346572,5,nasa+calce,oxford,soh_cycle,50,logistic_soh_cycle
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,sensors,10,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,sensors,20,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,sensors,30,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,sensors,50,logistic_sensors
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,full,10,logistic_full
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,full,20,logistic_full
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,full,30,logistic_full
