AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,model,H,method,seed,AUC_fold_mean,AUC_fold_std
0.7613959698023658,0.0917866517895002,0.09157145417879345,0.6828730699762312,0.9726569759328412,0.4962907079089652,0.16580474215054852,1.2910503169541483,,,0.9607421457290016,0.07380626464191213,6,calce,gru,10,raw,42,0.9607421457290016,0.07380626464191213
0.6588855095513197,0.14805091147811827,0.15937191893356276,1.520834053752596,0.9405552837185807,0.28115176662894503,0.07966064212656511,2.050421240373924,,,0.8666324112539985,0.19642105181436936,6,calce,gru,10,iso,42,0.8666324112539986,0.19642105181436936
0.5289010523997242,0.15286782928042744,0.14680258177681937,1.3310675312437945,0.9064350695734033,0.0666415189236766,0.08964469811084598,2.3448855845115957,,,0.9521450374835932,0.0719553467778203,6,calce,gru,10,platt,42,0.9521450374835934,0.0719553467778203
0.7643453055178953,0.08154275726106515,0.08210374869337145,0.31575166913958613,0.9711226853796278,0.589463095687162,0.38426821869497163,1.3254954024525347,,,0.9607421457290016,0.07380626464191213,6,calce,gru,10,temp,42,0.9607421457290016,0.07380626464191213
0.9103091544521469,0.09057816495857925,0.08979760674797618,0.6609347001881101,0.992558760942448,0.860621955788685,0.16574698946011515,1.3117767996847356,,,0.9598007147152365,0.08341832897144327,5,calce,gru,20,raw,42,0.9598007147152368,0.08341832897144327
0.8335929101252091,0.11028250887181382,0.12646500106853661,1.0585011572312562,0.9779794435043603,0.2983639315598851,0.11784543384886156,1.9123123009871648,,,0.9270331034707866,0.1072534399924484,5,calce,gru,20,iso,42,0.9270331034707866,0.1072534399924484
0.8564106143172989,0.11335767260638847,0.09778403277041693,0.9938400629961063,0.9869678095394274,0.7923067316098414,0.13421204300768005,2.466442344019457,,,0.959370567731362,0.0831801926225955,5,calce,gru,20,platt,42,0.9593705677313622,0.0831801926225955
0.8574014517086389,0.07954305689269431,0.048381894548182126,0.27567503385383885,0.9872886306228795,0.7403521918321468,0.48530157799834855,1.341450161259124,,,0.9598007147152365,0.08341832897144327,5,calce,gru,20,temp,42,0.9598007147152368,0.08341832897144327
0.6712471357726282,0.08764334812996125,0.08607916259775648,0.6466700880273288,0.9678088545570849,0.45860742211741345,0.13279229493427397,1.7271828272899366,,,0.9355505653826054,0.08960173496447114,5,calce,gru,30,raw,42,0.9355505653826054,0.08960173496447114
0.6084164601277885,0.1772221277440999,0.20549537628661363,1.5831725102369922,0.941873329227053,0.16048156882214223,0.05851788252331053,2.2897347575710874,,,0.749067051072816,0.2561955258757764,5,calce,gru,30,iso,42,0.7490670510728159,0.2561955258757764
