AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,model,H,method,AUC_fold_mean,AUC_fold_std
0.8210237175115557,0.1762636086709755,0.1665312774495051,0.5958036899361673,0.7890527908287487,0.5120481927710844,0.5635691528547038,-0.16435274144410922,,,0.9223761630089952,0.11582248139003667,7,nasa,xgboost,50,iso,0.9060671799629374,0.1160017063991607
0.8412101235129196,0.1552803832883814,0.1282766155762012,0.48791242664862666,0.8014037050559776,0.40160642570281124,1.1805076701685384,-0.20240493110107988,0.747711402647217,0.946163465011423,0.9633022621117859,0.05088757559429615,7,nasa,xgboost,50,platt,0.9180798198349303,0.11503485624117739
0.8601007804804122,0.14897374261810573,0.10813586288891962,0.47143981912478083,0.8209808096469036,0.45582329317269077,1.325826455952004,-0.2812246046843364,,,0.9633022621117859,0.05088757559429615,7,nasa,xgboost,50,temp,0.9180798198349303,0.11503485624117739
0.8330697604078898,0.20791909702263747,0.20396543258572922,0.8762611825361231,0.761332187636594,0.5945945945945946,0.26795830994237824,-0.5492090501613753,0.6768225753340019,0.9540945098364071,0.9477318432596211,0.09055923681568952,18,nasa,lightgbm,10,raw,0.9116950311639581,0.06471046777925332
0.7194331021669149,0.18954239119639035,0.061955843581277203,0.5584824093356295,0.5632248105658478,0.2132132132132132,0.5911020901190817,-0.27919366412337066,,,0.8924656958545848,0.16247579809437873,18,nasa,lightgbm,10,iso,0.8516950620848285,0.05498795245116425
0.7678635470002377,0.19352866885175424,0.1198658341389146,0.5624757678885153,0.5348747844570967,0.11411411411411411,0.7696411410600511,-0.23219853892427644,0.6316814480078016,0.91321844892577,0.9477318432596211,0.09055923681568952,18,nasa,lightgbm,10,platt,0.9116950311639581,0.06471046777925332
0.8103765636139737,0.16856054542433063,0.10993109396305348,0.5074572945155752,0.6890689602594119,0.5345345345345346,1.1347453506773189,-0.4906561938470224,,,0.9477318432596211,0.09055923681568952,18,nasa,lightgbm,10,temp,0.9116950311639581,0.06471046777925332
0.7931239385386262,0.24655361233786932,0.23835174031615874,1.087806894218824,0.740136849025381,0.49872122762148335,0.21056072650295876,-0.3583466968820336,0.6539542701286759,0.9275025619566343,0.9632026310352422,0.05178129508167047,11,nasa,lightgbm,20,raw,0.9091700740504244,0.12571427446734854
0.7230403867232511,0.20347995205696812,0.10721340084676187,0.5913216810553997,0.647720781094177,0.2864450127877238,0.5972399039678905,-0.12854284298860436,,,0.9102762828727471,0.14600136548211634,11,nasa,lightgbm,20,iso,0.8857269339125597,0.13175418354194
0.7465380801149891,0.21673096621244287,0.14067526872528385,0.6184510299084449,0.6175395216184831,0.26854219948849106,0.7271924079558042,-0.1965420563326834,0.6274231633837405,0.8925309326033634,0.9632026310352422,0.05178129508167047,11,nasa,lightgbm,20,platt,0.9091700740504244,0.12571427446734854
0.7694636382981286,0.19106844145866608,0.10782536988120218,0.5609744353062023,0.6959557793065971,0.3657289002557545,1.167573139462369,-0.37368986613460276,,,0.9632026310352422,0.05178129508167047,11,nasa,lightgbm,20,temp,0.9091700740504244,0.12571427446734854
0.7871374590907145,0.2347020355920506,0.21325577900226395,1.1941748192576698,0.7585465201321206,0.40559440559440557,0.19667736176337794,-0.2735119731872055,0.649272880417848,0.9156352703362947,0.9726324289423374,0.03552324179501052,11,nasa,lightgbm,30,raw,0.8920132001177642,0.12060885389016543
0.6506959929330547,0.24011685073879596,0.13502596840795889,0.6747177793529354,0.5915344861712594,0.2773892773892774,0.46418085983332785,-0.22324715508319,,,0.8399093838086391,0.15706038410923404,11,nasa,lightgbm,30,iso,0.8043987678539481,0.13960586392961938
0.7212584299395651,0.2220353005554621,0.161328271454536,0.6362460202032278,0.6339188735842556,0.1585081585081585,0.6973806250734484,-0.16769703361147903,0.6145467108781245,0.865262490966352,0.9726324289423374,0.03552324179501052,11,nasa,lightgbm,30,platt,0.8920132001177642,0.12060885389016543
0.7582664969977158,0.20112221431523097,0.09502424094510234,0.5897360858531041,0.6939020897779631,0.30303030303030304,1.0074706501254636,-0.28166885480808507,,,0.9726324289423374,0.03552324179501052,11,nasa,lightgbm,30,temp,0.8920132001177642,0.12060885389016543
0.8384594983708418,0.19306010492747497,0.18667795389604774,1.1438053996926498,0.8006613398367384,0.5281124497991968,0.23419004758820489,-0.45801014754253616,0.7173884791715349,0.9535615223916861,0.9617029795601224,0.05170619961770026,7,nasa,lightgbm,50,raw,0.9010650656510479,0.0734713773608261
0.7878116238539062,0.19607880909327538,0.16958191063748185,0.6036586464041145,0.7597844501913229,0.5240963855421686,0.6607780415294209,-0.13827960589656577,,,0.9304808286951144,0.0694710555609133,7,nasa,lightgbm,50,iso,0.8612425760957725,0.10423571003686645
0.7536902326286274,0.1929607670738288,0.1978993026569325,0.5771670582579331,0.7152318684158809,0.26506024096385544,1.0849895778265564,-0.19344328036661637,0.6071028023341216,0.9182577990732254,0.9617029795601224,0.05170619961770026,7,nasa,lightgbm,50,platt,0.9010650656510479,0.0734713773608261
0.8118132908994468,0.17724574973574828,0.09993338848931364,0.5386063303875902,0.7706759756716329,0.43373493975903615,1.4305964113280223,-0.3468957884449474,,,0.9617029795601224,0.05170619961770026,7,nasa,lightgbm,50,temp,0.9010650656510479,0.0734713773608261
0.7952643290772787,0.16921243930273983,0.06718289848573053,0.5000739774636341,0.6770258346955055,0.46846846846846846,0.8307463006683922,-0.23353270087964195,0.6395153726440531,0.9416083400865245,0.9438182517071405,0.11073186540956323,18,nasa,random_forest,10,raw,0.9114687353960151,0.10599832401795406
0.6310303108864259,0.21749390895807943,0.19367310172355415,0.6178590164783789,0.5042144845036702,0.21621621621621623,0.41444601009322946,-0.477828079566285,,,0.8576568225677956,0.15584949140973353,18,nasa,random_forest,10,iso,0.8000303117253086,0.11574890049899232
0.7195454447253008,0.2033904183322483,0.15273632845454205,0.5865819193417365,0.522115179505372,0.1831831831831832,0.7689521033900825,-0.17604994087787315,0.5746101051131981,0.9144805770408699,0.9438182517071405,0.11073186540956323,18,nasa,random_forest,10,platt,0.9114687353960151,0.10599832401795406
0.8056473739926977,0.17207112771563066,0.09291825154756929,0.5165854905962326,0.641091772290508,0.30930930930930933,1.4998708274739876,-0.2754958948390293,,,0.9438182517071405,0.11073186540956323,18,nasa,random_forest,10,temp,0.9114687353960151,0.10599832401795406
0.800379014482047,0.1766275522516403,0.09770845298644408,0.5136295607702541,0.7433943855565762,0.4833759590792839,0.8449423888620767,-0.193902110984224,0.6610594414890846,0.9299461199849273,0.9581647957085907,0.06264319166970954,11,nasa,random_forest,20,raw,0.9013672908766415,0.10945531378078789
0.6444671514090586,0.22676656796834813,0.1798808665425935,0.6381493319276587,0.5665638825383449,0.31202046035805625,0.4431557378834597,-0.36697763523603794,,,0.852655382335103,0.16927348559819186,11,nasa,random_forest,20,iso,0.8104288094228898,0.07366586976218711
0.7228055101639317,0.20909252772795153,0.17494444244224647,0.598227857512262,0.6292007225353868,0.28388746803069054,0.8463747398418927,-0.11849949838212163,0.5788330922875542,0.9075642806659301,0.9581647957085907,0.06264319166970954,11,nasa,random_forest,20,platt,0.9013672908766415,0.10945531378078789
0.7722660970742812,0.1867522471544621,0.0845971817660107,0.5485102587390563,0.6864952706557186,0.3375959079283887,1.378262364674298,-0.2912721309841978,,,0.9581647957085907,0.06264319166970954,11,nasa,random_forest,20,temp,0.9013672908766415,0.10945531378078789
0.8178238011293104,0.17414442215473858,0.09358572830806935,0.5153250802362421,0.7778413988837974,0.5454545454545454,0.852977570271687,-0.13564093501931543,0.6922547134017403,0.9297657876607359,0.9524269758132743,0.06950575463412093,11,nasa,random_forest,30,raw,0.9120489030169627,0.11266316933193345
0.6824602776188752,0.22837589657653085,0.1356069317529543,0.6432260747345653,0.619647864375881,0.34032634032634035,0.5055949620113627,-0.26537214641252355,,,0.8819058087512271,0.14653276013818933,11,nasa,random_forest,30,iso,0.8361090505819451,0.07649672541315924
0.7306894552303568,0.20848411627276037,0.1032309996737039,0.600233030969986,0.6628197152721489,0.2913752913752914,0.875702517180358,-0.09830943174741318,0.6042901328801273,0.8933735123571387,0.9524269758132743,0.06950575463412093,11,nasa,random_forest,30,platt,0.9120489030169627,0.11266316933193345
0.7870070941857252,0.18871006052039033,0.13454943619072965,0.5553825865443471,0.7311213181254372,0.34498834498834496,1.329810793773628,-0.18129007740917946,,,0.9524269758132743,0.06950575463412093,11,nasa,random_forest,30,temp,0.9120489030169627,0.11266316933193345
0.8484390391755702,0.16055583764746006,0.10229146156040192,0.49374554993125486,0.8204852147160262,0.39959839357429716,0.9355817343409786,-0.10510480929333814,0.7357567005515687,0.9567184035043532,0.9700611998231047,0.03948614657702666,7,nasa,random_forest,50,raw,0.9269236971244178,0.10658837105230887
0.7635068576191558,0.1966556217329144,0.17433410927585588,0.577252216662776,0.7115370464614156,0.2751004016064257,0.7015034933333076,-0.013145783549480995,,,0.8574649556792414,0.1462549480848956,7,nasa,random_forest,50,iso,0.8569818722253555,0.09798259516842223
0.8092824126695461,0.18396785004867808,0.1089313091902558,0.5497398111423859,0.7598618303746608,0.28313253012048195,1.0698520061356818,0.005701142210803169,0.6935649135067162,0.9467960854063273,0.9700611998231047,0.03948614657702666,7,nasa,random_forest,50,platt,0.9269236971244178,0.10658837105230887
0.8287072819580208,0.17698896506302345,0.14567346613111673,0.5331630085424172,0.7938426598403976,0.3032128514056225,1.3529673956488977,-0.04784860536474066,,,0.9700611998231047,0.03948614657702666,7,nasa,random_forest,50,temp,0.9269236971244178,0.10658837105230887
0.8450699349797401,0.11051880540174903,0.10981100014913128,0.5809616344310037,0.982285883912098,0.5272544586787239,0.20457244603269045,1.1299630533884837,0.6661250061034494,0.9644929640828642,0.9654879961648418,0.041412293571253055,6,calce,xgboost,10,raw,0.9654879961648417,0.041412293571253055
