source,target,H,feature_set,model,raw_AUC,raw_Brier,raw_ECE10,raw_LogLoss,raw_PRAUC,raw_SensAtFPR10,raw_CalSlope,raw_CalIntercept,raw_AUC_lo,raw_AUC_hi,raw_AUC_percell_mean,raw_AUC_percell_std,raw_n_cells_valid,iso_AUC,iso_Brier,iso_ECE10,iso_LogLoss,iso_PRAUC,iso_SensAtFPR10,iso_CalSlope,iso_CalIntercept,iso_AUC_lo,iso_AUC_hi,iso_AUC_percell_mean,iso_AUC_percell_std,iso_n_cells_valid,platt_AUC,platt_Brier,platt_ECE10,platt_LogLoss,platt_PRAUC,platt_SensAtFPR10,platt_CalSlope,platt_CalIntercept,platt_AUC_lo,platt_AUC_hi,platt_AUC_percell_mean,platt_AUC_percell_std,platt_n_cells_valid,temp_AUC,temp_Brier,temp_ECE10,temp_LogLoss,temp_PRAUC,temp_SensAtFPR10,temp_CalSlope,temp_CalIntercept,temp_AUC_lo,temp_AUC_hi,temp_AUC_percell_mean,temp_AUC_percell_std,temp_n_cells_valid,endpoint,AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.8441594861669087,0.10907168256383683,0.11022918088724402,0.5586488863588761,0.9838710227810015,0.5486163051608077,0.20102727229481754,1.2350677454059038,0.6704062688886969,0.9638972717042111,0.9665744582361956,0.0361643758856017,6.0,calce
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7817494506141865,0.0712789433080802,0.04673580875148934,0.33805458494376656,0.9709732341392812,0.49339316878583894,0.2090316148027466,1.2946955333040584,,,0.9221453860172311,0.07447641972595963,6.0,calce
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.49935900605262395,0.07941313738850869,0.03969279772060483,0.29895601319545856,0.9067053121390702,0.0694340563450511,0.1597535877310441,2.0037472385994333,0.31227876262515003,0.8767609780722099,0.9665744582361956,0.0361643758856017,6.0,calce
,,20,with_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7204514238446241,0.08804809693102442,0.07205488580772734,0.3094137963369728,0.9485762148380941,0.0694340563450511,0.4779403360066823,1.4864770968753411,,,0.9665744582361956,0.0361643758856017,6.0,calce
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7897930830862105,0.11164463264831954,0.1128457504315003,0.6080448845023624,0.9719524003364916,0.30254300673148843,0.1794445695032025,1.3219827893818017,0.5920466294751879,0.9627514213913149,0.9479665785694306,0.10442929380955439,6.0,calce
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.7457083561696194,0.07326564518710779,0.06824678279298502,0.38857668028573245,0.9623635053516937,0.35527299925205685,0.1579864156055591,1.5709876613150946,,,0.9191064292725679,0.0900138706175905,6.0,calce
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.4715597507697713,0.07964239983412631,0.03915635181676419,0.3013547124782855,0.8919496832274758,0.02343555223136375,0.07461839842887036,2.226798680388851,0.28018808915443033,0.8544477481412672,0.9479665785694306,0.10442929380955439,6.0,calce
,,20,no_soh,xgboost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined,0.6853359660371391,0.0912080778887447,0.06933679510968373,0.32708241560838525,0.9306507167071281,0.027175268012964347,0.3935097187428067,1.6283343478932797,,,0.9479665785694306,0.10442929380955439,6.0,calce
nasa,oxford,20,with_soh,xgboost,0.9651639344262295,0.09997250303837357,0.13676246518298285,0.2737412657027508,0.8172043010752689,1.0,88.8844976287563,42.28141604352275,0.9422310756972112,0.989451476793249,0.9662709518220938,0.031969410695491196,5.0,0.9590163934426229,0.07540057886985616,0.09745922459893046,0.2181336906791284,0.7916666666666666,1.0,5.084241324701051,1.3336312672005275,,,0.9610077939273569,0.03597005360290136,5.0,0.9651639344262295,0.1471018081268239,0.19042557816270858,0.3884888283911191,0.8172043010752689,1.0,44.46587504083992,57.18843374634839,0.9422310756972112,0.989451476793249,0.9662709518220938,0.031969410695491196,5.0,0.9651639344262295,0.10000428387673313,0.1367420753475249,0.27374851434408276,0.8172043010752689,1.0,66.26728535084146,31.945533175354228,,,0.9662709518220938,0.031969410695491196,5.0,soh_only,,,,,,,,,,,,,,
nasa,oxford,20,no_soh,xgboost,0.48770491803278687,0.21995684628178908,0.1976861528637528,0.7930282468030659,0.24126984126984127,0.0,0.41006419784569775,0.13762354553740322,0.4839357429718876,0.4903846153846154,0.48775485741225566,0.003849466051728582,5.0,0.4979508196721311,0.2204061841906718,0.19868464532299301,0.7992880898130978,0.24126984126984127,0.05263157894736842,0.90792284852294,1.7525836729494495,,,0.4981132075471698,0.004218996183961866,5.0,0.48770491803278687,0.22746626473586856,0.21525837277084825,0.9217985404610761,0.24126984126984127,0.0,-0.40660692700395173,-2.7057230714048743,0.4839357429718876,0.4903846153846154,0.48775485741225566,0.003849466051728582,5.0,0.48770491803278687,0.22534280472866652,0.2107494359417032,0.8768517010538869,0.24126984126984127,0.0,0.36335975522325964,0.13906779492110372,,,0.48775485741225566,0.003849466051728582,5.0,soh_only,,,,,,,,,,,,,,
calce,oxford,20,with_soh,xgboost,0.8498166522864539,0.7466359893821133,0.7498526042792946,6.840131803640273,0.6732574368063132,0.8289473684210527,6.199893093301399,-60.00404637168361,0.7638724911452184,0.909516172146485,0.7627492810446868,0.2453738942000501,5.0,0.5922131147540984,0.7309145106261385,0.7440333834109938,8.950304723348264,0.27636363636363637,0.21052631578947367,0.7782896376517996,-11.715022753926084,,,0.5926563048559077,0.012755887388305402,5.0,0.8498166522864539,0.6649732362541035,0.6961985903495144,2.0949830876034072,0.6732574368063132,0.8289473684210527,30.63165995537812,-83.48242857775494,0.7638724911452184,0.909516172146485,0.7627492810446868,0.2453738942000501,5.0,0.8498166522864539,0.6729713744318356,0.7028058935050574,2.2543300329732148,0.6732574368063132,0.8289473684210527,19.27230697151075,-59.88078790090594,,,0.7627492810446868,0.2453738942000501,5.0,soh_only,,,,,,,,,,,,,,
calce,oxford,20,no_soh,xgboost,0.41630716134598794,0.7450935951308141,0.7487706566695123,6.608646328180148,0.24288579592380138,0.14473684210526316,0.38370775064764256,-4.577181849293299,0.26384571219335956,0.5544732643230932,0.3596208189216081,0.20810678191038437,5.0,0.5362920621225196,0.666485154053667,0.6980061986250645,2.799860147897557,0.252880393419589,0.17105263157894737,0.04416879923519991,-1.3349574011157024,,,0.5169645228897829,0.06287440719992662,5.0,0.41630716134598794,0.6627150228970171,0.694596477576048,2.075796046777364,0.24288579592380138,0.14473684210526316,414.70704228182205,-1104.935403230226,0.26384571219335956,0.5544732643230932,0.3596208189216081,0.20810678191038437,5.0,0.41630716134598794,0.6563887214976013,0.689765123639692,2.098578258230872,0.24288579592380138,0.14473684210526316,1.2945244278216452,-4.696154239068999,,,0.3596208189216081,0.20810678191038437,5.0,soh_only,,,,,,,,,,,,,,
nasa+calce,oxford,20,with_soh,xgboost,0.9950927523727351,0.6758996122828671,0.7049405876954551,2.6776721967584245,0.9538532869122427,1.0,10.329615536954304,-54.863804289183385,0.9875781407541843,1.0,0.9962264150943396,0.00843799236792372,5.0,0.9657301553062986,0.330932518972466,0.4261953634390815,0.8724956602789465,0.8291340725551252,0.9868421052631579,29.97425940879825,-32.864410467682546,,,0.9193633380794829,0.10077820220732654,5.0,0.9950927523727351,0.6141297482542774,0.6603167065598222,1.8258246696007376,0.9538532869122427,1.0,714.8249525963155,-1779.1949256095518,0.9875781407541843,1.0,0.9962264150943396,0.00843799236792372,5.0,0.9950927523727351,0.434103985616843,0.534155507135313,1.1123503052779697,0.9538532869122427,1.0,31.623860275538046,-54.899580690025516,,,0.9962264150943396,0.00843799236792372,5.0,soh_only,,,,,,,,,,,,,,
nasa+calce,oxford,20,no_soh,xgboost,0.4642471958584987,0.705708626750752,0.721114651701646,3.0042180328903356,0.23274937825876055,0.13157894736842105,0.6134607717407955,-3.6552355758880455,0.3203804347826087,0.596221322537112,0.41562248757821846,0.2043454185798991,5.0,0.5491803278688525,0.36195680565963445,0.4294498976781352,0.9334931554284008,0.2576271186440678,0.23684210526315788,1.5405538012784976,-2.343295956087312,,,0.5499049582217408,0.008606453115640794,5.0,0.4642471958584987,0.6353097329066076,0.6737711511872251,1.9337708915039162,0.23274937825876055,0.13157894736842105,7.153665614048178,-19.176373265131847,0.3203804347826087,0.596221322537112,0.41562248757821846,0.2043454185798991,5.0,0.4642471958584987,0.473411837988815,0.5422460956823091,1.2219487612504991,0.23274937825876055,0.13157894736842105,1.858735999927509,-3.654884088229477,,,0.41562248757821846,0.2043454185798991,5.0,soh_only,,,,,,,,,,,,,,
nasa,severson,20,with_soh,xgboost,0.9948266915980586,0.17519360031831194,0.3850680452326609,0.5451397656120791,0.8127013938994172,0.9780085522296884,2.5304911099555523,-7.377688611614,0.9927534722193327,0.9966112211105039,0.9983214055253478,0.007980459522693727,39.0,0.9870159088116894,0.1718741819924531,0.3773482835061461,0.5425998923207196,0.6071519957346776,0.9700671960904093,0.5003292109180685,-4.692942642116747,,,0.9924246689376965,0.011056936248931839,39.0,0.9948266915980586,0.11654101359605083,0.25496789773537476,0.3807210588628318,0.8127013938994172,0.9780085522296884,3.749041271153425,-10.003165187535048,0.9927534722193327,0.9966112211105039,0.9983214055253478,0.007980459522693727,39.0,0.9948266915980586,0.17513840120494986,0.38492564885704883,0.5450429737634357,0.8127013938994172,0.9780085522296884,2.4950748088664247,-7.289924454319033,,,0.9983214055253478,0.007980459522693727,39.0,soh_only,,,,,,,,,,,,,,
nasa,severson,20,no_soh,xgboost,0.6377973514823023,0.7768900913091292,0.8733024987246798,2.189185607376495,0.023834880478823227,0.2797800855222969,1.5961463480305864,-7.752521813109381,0.5589642330997452,0.7059236029685527,0.5401127191685277,0.19067123378789497,39.0,0.5027219791200083,0.9079602304132841,0.9453495716776791,3.236501029281242,0.014048969713613855,0.0,-0.04079531288197534,-4.130658210941281,,,0.5031305199584022,0.013687912895207204,39.0,0.6377973514823023,0.9011617717385653,0.9420403480335918,3.1102958313808147,0.023834880478823227,0.2797800855222969,2.599671085059393,-12.532800772074857,0.5589642330997452,0.7059236029685527,0.5401127191685277,0.19067123378789497,39.0,0.6377973514823023,0.8183382513123528,0.8967686863739278,2.4314725572871208,0.023834880478823227,0.2797800855222969,1.4196589081067772,-7.76972665488492,,,0.5401127191685277,0.19067123378789497,39.0,soh_only,,,,,,,,,,,,,,
calce,severson,20,with_soh,xgboost,0.964962543346333,0.8414119408055583,0.8598455074764327,5.913646966075448,0.60937979310313,1.0,19.3164527055596,-169.67738855079278,0.9615933349501106,0.9684342081699168,0.9656174614983388,0.009608960842836188,39.0,0.8548310383075997,0.7527595294605948,0.8503596727062486,2.2963548771002165,0.5617600608281117,0.678069639584606,19.56070348233126,-57.19777084046373,,,0.911091488553507,0.02523121672421601,39.0,0.964962543346333,0.8168600355650462,0.8937050613232584,2.511406143447434,0.60937979310313,1.0,26116.288781219995,-70212.86877349843,0.9615933349501106,0.9684342081699168,0.9656174614983388,0.009608960842836188,39.0,0.964962543346333,0.6901316673346605,0.7947254538960498,2.0416720955061423,0.60937979310313,1.0,62.77705676500851,-176.95064259959878,,,0.9656174614983388,0.009608960842836188,39.0,soh_only,,,,,,,,,,,,,,
